ORD_ID,ORD_DATE,CUSTOMER_KEY,PRODUCT_KEY,SUPPLIER_KEY,WAREHOUSE_CODE,SHIP_STATE,SHIP_METHOD,CARRIER,ORDER_STATUS,QTY_UNITS,UNIT_WEIGHT_LB,UNIT_PRICE_USD,DISCOUNT_PCT,FREIGHT_USD,LINE_TOTAL_USD
7000001,12/27/2023,15561,5710,368,WHWA1,DC,Overnight,UPS,Delivered,3,8.92,85.25,0.1,2.67,232.84
7000002,8/4/2025,17461,3671,366,WHIL1,WV,Ground,UPS,Delivered,28,4.41,40.4,0.1,28.81,1046.89
7000003,12/13/2024,13079,2802,444,WHGA1,KY,Ground,UPS,Delivered,25,3.32,56.14,0,26.83,1430.33
7000004,8/30/2024,12984,3651,353,WHIL1,IL,Ground,FedEx,Pending,164,37.33,61.42,0,8.51,10081.39
7000005,7/3/2023,17260,1177,428,WHIL1,RI,Ground,USPS,Delivered,17,24.31,7.52,0,17.69,145.53
7000006,7/3/2023,16055,5545,621,WHFL1,NV,Ground,UPS,Delivered,147,6.85,85.7,0,19.21,12617.11
7000007,3/10/2023,12524,1743,507,WHWA1,AZ,Ground,FedEx,Cancelled,15,21.09,96.45,0.1,18.61,1320.68
7000008,4/28/2025,19678,3349,620,WHGA1,CA,2Day,FedEx,Delivered,91,23.05,77.6,0.1,18.9,6374.34
7000009,9/1/2024,14582,5403,516,WHFL1,OK,2Day,UPS,InTransit,39,3.16,73.85,0.1,31.16,2623.29
7000010,11/30/2024,15610,1751,368,WHWA1,IA,Overnight,FedEx,Delivered,39,16.66,172.84,0,31.71,6772.47
7000011,1/25/2023,12002,1869,362,WHTX1,KY,Ground,UPS,Delivered,199,7.45,54.82,0,14.13,10923.31
7000012,8/20/2025,11388,5063,510,WHPA1,UT,Ground,DHL,Delivered,27,12.58,56.15,0,42.52,1558.57
7000013,3/20/2025,16553,4968,637,WHNJ1,VA,Ground,FedEx,Delivered,24,60.86,35.81,0.05,25.98,842.45
7000014,8/28/2023,11031,1214,627,WHIL1,NH,Overnight,FedEx,Delivered,80,25.89,14.81,0,55.23,1240.03
7000015,8/2/2023,19958,2618,670,WHFL1,AR,Ground,UPS,Cancelled,109,9.26,77.9,0,27.41,8518.51
7000016,8/3/2023,11221,3531,352,WHPA1,NY,Ground,FedEx,Delivered,187,23.47,38.63,0,11.25,7235.06
7000017,11/20/2023,16036,4334,416,WHIL1,WI,2Day,UPS,Delivered,101,3.16,14.7,0,27.11,1511.81
7000018,6/16/2024,19811,2598,681,WHTX1,TX,Ground,UPS,Pending,75,13.53,53.64,0,19.16,4042.16
7000019,2/28/2024,19456,1512,683,WHTX1,PA,Ground,UPS,Delivered,52,13.72,52.6,0.2,44.21,2232.37
7000020,11/13/2023,16524,1253,365,WHCA1,AR,Ground,UPS,Delivered,81,15.27,48.12,0,5.92,3903.64
7000021,9/14/2024,18075,5134,430,WHTX1,IL,Ground,FedEx,Delivered,82,7.37,62.17,0.1,12.53,4600.68
7000022,6/14/2023,19064,1629,477,WHWA1,MD,2Day,UPS,Delivered,26,12.58,18.96,0.25,9.91,379.63
7000023,11/13/2023,10835,4477,578,WHTX1,WA,Ground,USPS,Delivered,95,16.71,113.22,0,33.49,10789.39
7000024,12/23/2023,19111,1987,463,WHIL1,LA,Ground,UPS,Pending,24,2.48,76.58,0.15,26.78,1589.01
7000025,3/27/2024,11725,2726,632,WHNJ1,WI,Ground,UPS,Delivered,64,8.27,134.93,0,14.07,8649.59
7000026,1/23/2025,16599,3094,452,WHFL1,DC,Ground,USPS,Delivered,31,5.82,38.34,0.25,9.84,901.25
7000027,8/17/2023,12414,2702,650,WHIL1,TN,Ground,UPS,Delivered,38,14.88,76.4,0.1,14.51,2627.39
7000028,6/3/2024,19506,1305,536,WHFL1,OR,Ground,UPS,Delivered,84,22.86,15.28,0.15,20.56,1111.55
7000029,8/25/2024,15994,5079,458,WHPA1,ID,Ground,UPS,Delivered,8,6.93,31.55,0,33.76,286.16
7000030,2/24/2023,14499,3281,627,WHFL1,MO,Ground,USPS,Delivered,2,5.2,21.64,0.1,20.59,59.54
7000031,9/9/2024,12106,5341,406,WHTX1,NJ,2Day,USPS,InTransit,15,10.73,67.81,0.15,17.5,882.08
7000032,7/20/2023,12569,3808,606,WHCA1,IA,Ground,UPS,Delivered,20,5.01,26.09,0.1,59.63,529.25
7000033,3/18/2023,19331,3887,555,WHNJ1,OK,2Day,FedEx,Delivered,24,8.73,41.62,0,31.69,1030.57
7000034,8/3/2025,10210,4455,658,WHCA1,DE,Ground,FedEx,InTransit,116,8.19,56.38,0,38.13,6578.21
7000035,8/17/2025,19257,2025,413,WHGA1,NV,Ground,USPS,Delivered,57,14.16,42.51,0,6.67,2429.74
7000036,2/19/2025,14912,5313,330,WHCA1,MI,Overnight,UPS,Delivered,61,12.08,22.5,0.05,14.47,1318.34
7000037,11/20/2023,12221,3976,312,WHWA1,WI,Ground,USPS,InTransit,90,11.02,178.95,0,31.43,16136.93
7000038,4/26/2023,10234,1507,477,WHCA1,PA,Ground,UPS,Delivered,106,26.7,61.29,0.2,22.89,5220.28
7000039,11/18/2024,10793,5857,638,WHPA1,KS,Ground,UPS,Delivered,1,11.76,180.08,0,8.66,188.74
7000040,3/8/2024,13111,3952,346,WHTX1,CA,Ground,UPS,Delivered,137,7.78,27.46,0,10.85,3772.87
7000041,5/24/2023,12167,2054,471,WHWA1,VA,Ground,FedEx,InTransit,191,8.38,43.46,0,26.76,8327.62
